Country,Landmass,Geographic quadrant,Area,Population,Lang,Religion,Bars,Stripes,Colours,Red,Green,Blue,Gold,White,Black,Orange,Circles,Crosses,Saltires,Quarters,Sunstars,Crescent,Triangle,Icon,Animate,Test
Afghanistan,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
Albania,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Algeria,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
American-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
Andorra,3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Anguilla,1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Antigua-Barbuda,1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Argentina,2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentine,2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Australia,6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,0,1,1,1,6,0,0,0,0,0
Austria,3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Bahrain,5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barbados,1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Belgium,3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Belize,1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
Benin,4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bermuda,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
Bhutan,5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0
Bolivia,2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brazil,2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,1,0,0,0,22,0,0,0,0,1
British-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
Brunei,5,1,6,0,10,2,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1
Bulgaria,3,1,111,9,5,6,0,3,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
Burkina,4,4,274,7,3,5,0,2,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Burma,5,1,678,35,10,3,0,0,3,1,0,1,0,1,0,0,0,0,0,1,14,0,0,1,1,0
Burundi,4,2,28,4,10,5,0,0,3,1,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0
Cameroon,4,1,474,8,3,1,3,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,1,4,9976,24,1,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cape-Verde-Islands,4,4,4,0,6,0,1,2,5,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
Cayman-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,1,1,1,1,4,0,0,1,1,1
Central-African-Republic,4,1,623,2,10,5,1,0,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Chad,4,1,1284,4,3,5,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2,3,757,11,2,0,0,2,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
China,5,1,9561,1008,7,6,0,0,2,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
Colombia,2,4,1139,28,2,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comorro-Islands,4,2,2,0,3,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0
Congo,4,2,342,2,10,5,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
Cook-Islands,6,3,0,0,1,1,0,0,4,1,0,1,0,1,0,0,1,1,1,1,15,0,0,0,0,0
Costa-Rica,1,4,51,2,2,0,0,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1,4,115,10,2,6,0,5,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Cyprus,3,1,9,1,6,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Czechoslovakia,3,1,128,15,5,6,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Denmark,3,1,43,5,6,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Djibouti,4,1,22,0,3,2,0,0,4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Dominica,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,1,0,0,0,10,0,0,0,1,0
Dominican-Republic,1,4,49,6,2,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ecuador,2,3,284,8,2,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,4,1,1001,47,8,2,0,3,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
El-Salvador,1,4,21,5,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial-Guinea,4,1,28,0,10,5,0,3,4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ethiopia,4,1,1222,31,10,1,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Faeroes,3,4,1,0,6,1,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Falklands-Malvinas,2,3,12,0,1,1,0,0,6,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
Fiji,6,2,18,1,1,1,0,0,7,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0
Finland,3,1,337,5,9,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,3,1,547,54,3,0,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
French-Guiana,2,4,91,0,3,0,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
French-Polynesia,6,3,4,0,3,0,0,3,5,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
Gabon,4,2,268,1,10,5,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,4,4,10,1,1,5,0,5,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany-DDR,3,1,108,17,4,6,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Germany-FRG,3,1,249,61,4,1,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghana,4,4,239,14,1,5,0,3,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Gibraltar,3,4,0,0,1,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Greece,3,1,132,10,6,1,0,9,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Greenland,1,4,2176,0,6,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Grenada,1,4,0,0,1,1,0,0,3,1,1,0,1,0,0,0,1,0,0,0,7,0,1,0,1,0
Guam,6,1,0,0,1,1,0,0,7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
